Date : 2023-04-18 18:24:08
Directory : d:\czcfiles\code\vue-admin-template
Total : 103 files,  5650 codes, 378 comments, 542 blanks, all 6570 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| tests                                                                             |          8 |        215 |         14 |         18 |        247 |
| tests\unit                                                                        |          8 |        215 |         14 |         18 |        247 |
| tests\unit (Files)                                                                |          1 |          5 |          0 |          1 |          6 |
| tests\unit\components                                                             |          3 |        120 |         14 |          7 |        141 |
| tests\unit\utils                                                                  |          4 |         90 |          0 |         10 |        100 |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                          | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\czcfiles\code\vue-admin-template\.eslintrc.js                                  | JavaScript         |        195 |          2 |          2 |        199 |
| d:\czcfiles\code\vue-admin-template\.travis.yml                                   | YAML               |          5 |          0 |          1 |          6 |
| d:\czcfiles\code\vue-admin-template\README-zh.md                                  | Markdown           |         71 |          0 |         41 |        112 |
| d:\czcfiles\code\vue-admin-template\README.md                                     | Markdown           |         62 |          0 |         38 |        100 |
| d:\czcfiles\code\vue-admin-template\babel.config.js                               | JavaScript         |         10 |          4 |          1 |         15 |
| d:\czcfiles\code\vue-admin-template\build\index.js                                | JavaScript         |         28 |          0 |          8 |         36 |
| d:\czcfiles\code\vue-admin-template\jest.config.js                                | JavaScript         |         22 |          2 |          1 |         25 |
| d:\czcfiles\code\vue-admin-template\jsconfig.json                                 | JSON with Comments |          5 |          5 |          0 |         10 |
| d:\czcfiles\code\vue-admin-template\mock\index.js                                 | JavaScript         |         43 |          6 |          9 |         58 |
| d:\czcfiles\code\vue-admin-template\mock\mock-server.js                           | JavaScript         |         65 |          6 |         11 |         82 |
| d:\czcfiles\code\vue-admin-template\mock\table.js                                 | JavaScript         |         27 |          0 |          3 |         30 |
| d:\czcfiles\code\vue-admin-template\mock\user.js                                  | JavaScript         |        114 |          5 |         11 |        130 |
| d:\czcfiles\code\vue-admin-template\mock\utils.js                                 | JavaScript         |         20 |          4 |          2 |         26 |
| d:\czcfiles\code\vue-admin-template\package.json                                  | JSON               |         65 |          0 |          1 |         66 |
| d:\czcfiles\code\vue-admin-template\postcss.config.js                             | JavaScript         |          5 |          2 |          2 |          9 |
| d:\czcfiles\code\vue-admin-template\public\index.html                             | HTML               |         16 |          1 |          1 |         18 |
| d:\czcfiles\code\vue-admin-template\src\App.vue                                   | Vue                |         10 |          0 |          2 |         12 |
| d:\czcfiles\code\vue-admin-template\src\api\common.js                             | JavaScript         |          7 |          0 |          1 |          8 |
| d:\czcfiles\code\vue-admin-template\src\api\movie.js                              | JavaScript         |         14 |          0 |          2 |         16 |
| d:\czcfiles\code\vue-admin-template\src\api\system.js                             | JavaScript         |         60 |          0 |          9 |         69 |
| d:\czcfiles\code\vue-admin-template\src\api\table.js                              | JavaScript         |          8 |          0 |          2 |         10 |
| d:\czcfiles\code\vue-admin-template\src\api\type.js                               | JavaScript         |         41 |          0 |          6 |         47 |
| d:\czcfiles\code\vue-admin-template\src\api\upload.js                             | JavaScript         |         26 |          0 |          4 |         30 |
| d:\czcfiles\code\vue-admin-template\src\api\user.js                               | JavaScript         |         27 |          0 |          5 |         32 |
| d:\czcfiles\code\vue-admin-template\src\components\Breadcrumb\index.vue           | Vue                |         70 |          2 |          7 |         79 |
| d:\czcfiles\code\vue-admin-template\src\components\Hamburger\index.vue            | Vue                |         41 |          0 |          4 |         45 |
| d:\czcfiles\code\vue-admin-template\src\components\SvgIcon\index.vue              | Vue                |         57 |          1 |          5 |         63 |
| d:\czcfiles\code\vue-admin-template\src\icons\index.js                            | JavaScript         |          6 |          1 |          3 |         10 |
| d:\czcfiles\code\vue-admin-template\src\icons\svg\dashboard.svg                   | XML                |          1 |          0 |          0 |          1 |
| d:\czcfiles\code\vue-admin-template\src\icons\svg\example.svg                     | XML                |          1 |          0 |          0 |          1 |
| d:\czcfiles\code\vue-admin-template\src\icons\svg\eye-open.svg                    | XML                |          1 |          0 |          0 |          1 |
| d:\czcfiles\code\vue-admin-template\src\icons\svg\eye.svg                         | XML                |          1 |          0 |          0 |          1 |
| d:\czcfiles\code\vue-admin-template\src\icons\svg\form.svg                        | XML                |          1 |          0 |          0 |          1 |
| d:\czcfiles\code\vue-admin-template\src\icons\svg\link.svg                        | XML                |          1 |          0 |          0 |          1 |
| d:\czcfiles\code\vue-admin-template\src\icons\svg\nested.svg                      | XML                |          1 |          0 |          0 |          1 |
| d:\czcfiles\code\vue-admin-template\src\icons\svg\password.svg                    | XML                |          1 |          0 |          0 |          1 |
| d:\czcfiles\code\vue-admin-template\src\icons\svg\table.svg                       | XML                |          1 |          0 |          0 |          1 |
| d:\czcfiles\code\vue-admin-template\src\icons\svg\tree.svg                        | XML                |          1 |          0 |          0 |          1 |
| d:\czcfiles\code\vue-admin-template\src\icons\svg\user.svg                        | XML                |          1 |          0 |          0 |          1 |
| d:\czcfiles\code\vue-admin-template\src\icons\svgo.yml                            | YAML               |          5 |         13 |          5 |         23 |
| d:\czcfiles\code\vue-admin-template\src\layout\components\AppMain.vue             | Vue                |         35 |          2 |          4 |         41 |
| d:\czcfiles\code\vue-admin-template\src\layout\components\Navbar.vue              | Vue                |        121 |          0 |         19 |        140 |
| d:\czcfiles\code\vue-admin-template\src\layout\components\Sidebar\FixiOSBug.js    | JavaScript         |         24 |          2 |          1 |         27 |
| d:\czcfiles\code\vue-admin-template\src\layout\components\Sidebar\Item.vue        | Vue                |         38 |          0 |          4 |         42 |
| d:\czcfiles\code\vue-admin-template\src\layout\components\Sidebar\Link.vue        | Vue                |         41 |          0 |          3 |         44 |
| d:\czcfiles\code\vue-admin-template\src\layout\components\Sidebar\Logo.vue        | Vue                |         74 |          0 |          9 |         83 |
| d:\czcfiles\code\vue-admin-template\src\layout\components\Sidebar\SidebarItem.vue | Vue                |         83 |          6 |          7 |         96 |
| d:\czcfiles\code\vue-admin-template\src\layout\components\Sidebar\index.vue       | Vue                |         53 |          1 |          3 |         57 |
| d:\czcfiles\code\vue-admin-template\src\layout\components\index.js                | JavaScript         |          3 |          0 |          1 |          4 |
| d:\czcfiles\code\vue-admin-template\src\layout\index.vue                          | Vue                |         86 |          0 |          8 |         94 |
| d:\czcfiles\code\vue-admin-template\src\layout\mixin\ResizeHandler.js             | JavaScript         |         40 |          2 |          4 |         46 |
| d:\czcfiles\code\vue-admin-template\src\lib\md5.js                                | JavaScript         |         38 |          0 |          2 |         40 |
| d:\czcfiles\code\vue-admin-template\src\main.js                                   | JavaScript         |         23 |         11 |         10 |         44 |
| d:\czcfiles\code\vue-admin-template\src\permission.js                             | JavaScript         |         45 |         10 |         10 |         65 |
| d:\czcfiles\code\vue-admin-template\src\router\index.js                           | JavaScript         |        171 |         27 |         19 |        217 |
| d:\czcfiles\code\vue-admin-template\src\settings.js                               | JavaScript         |          5 |          8 |          4 |         17 |
| d:\czcfiles\code\vue-admin-template\src\store\getters.js                          | JavaScript         |          8 |          0 |          1 |          9 |
| d:\czcfiles\code\vue-admin-template\src\store\index.js                            | JavaScript         |         16 |          0 |          4 |         20 |
| d:\czcfiles\code\vue-admin-template\src\store\modules\app.js                      | JavaScript         |         44 |          0 |          5 |         49 |
| d:\czcfiles\code\vue-admin-template\src\store\modules\settings.js                 | JavaScript         |         25 |          1 |          7 |         33 |
| d:\czcfiles\code\vue-admin-template\src\store\modules\user.js                     | JavaScript         |         81 |          4 |         13 |         98 |
| d:\czcfiles\code\vue-admin-template\src\styles\element-ui.scss                    | SCSS               |         35 |          5 |         10 |         50 |
| d:\czcfiles\code\vue-admin-template\src\styles\index.scss                         | SCSS               |         54 |          1 |         11 |         66 |
| d:\czcfiles\code\vue-admin-template\src\styles\mixin.scss                         | SCSS               |         24 |          0 |          5 |         29 |
| d:\czcfiles\code\vue-admin-template\src\styles\sidebar.scss                       | SCSS               |        180 |          6 |         41 |        227 |
| d:\czcfiles\code\vue-admin-template\src\styles\transition.scss                    | SCSS               |         35 |          4 |         10 |         49 |
| d:\czcfiles\code\vue-admin-template\src\styles\variables.scss                     | SCSS               |         18 |          3 |          5 |         26 |
| d:\czcfiles\code\vue-admin-template\src\types\promise-plus.d.ts                   | TypeScript         |          1 |          0 |          0 |          1 |
| d:\czcfiles\code\vue-admin-template\src\utils\auth.js                             | JavaScript         |         11 |          0 |          5 |         16 |
| d:\czcfiles\code\vue-admin-template\src\utils\get-page-title.js                   | JavaScript         |          8 |          0 |          3 |         11 |
| d:\czcfiles\code\vue-admin-template\src\utils\index.js                            | JavaScript         |         88 |         23 |          7 |        118 |
| d:\czcfiles\code\vue-admin-template\src\utils\request.js                          | JavaScript         |         49 |         33 |          7 |         89 |
| d:\czcfiles\code\vue-admin-template\src\utils\validate.js                         | JavaScript         |          6 |         11 |          3 |         20 |
| d:\czcfiles\code\vue-admin-template\src\views\404.vue                             | Vue                |        225 |          0 |          4 |        229 |
| d:\czcfiles\code\vue-admin-template\src\views\admin\info\index.vue                | Vue                |          0 |          0 |          1 |          1 |
| d:\czcfiles\code\vue-admin-template\src\views\dashboard\index.vue                 | Vue                |         53 |          0 |          7 |         60 |
| d:\czcfiles\code\vue-admin-template\src\views\forum\comment\index.vue             | Vue                |          0 |          0 |          1 |          1 |
| d:\czcfiles\code\vue-admin-template\src\views\forum\essay\index.vue               | Vue                |          0 |          0 |          1 |          1 |
| d:\czcfiles\code\vue-admin-template\src\views\login\index.vue                     | Vue                |        216 |          3 |         25 |        244 |
| d:\czcfiles\code\vue-admin-template\src\views\movie\comment\index.vue             | Vue                |          0 |          0 |          1 |          1 |
| d:\czcfiles\code\vue-admin-template\src\views\movie\list\index.vue                | Vue                |        226 |          3 |          3 |        232 |
| d:\czcfiles\code\vue-admin-template\src\views\movie\video\addFrom.vue             | Vue                |        272 |         24 |          6 |        302 |
| d:\czcfiles\code\vue-admin-template\src\views\movie\video\components\step1.vue    | Vue                |         77 |          2 |          3 |         82 |
| d:\czcfiles\code\vue-admin-template\src\views\movie\video\components\step2.vue    | Vue                |         74 |          2 |          3 |         79 |
| d:\czcfiles\code\vue-admin-template\src\views\movie\video\index.vue               | Vue                |        133 |          3 |          2 |        138 |
| d:\czcfiles\code\vue-admin-template\src\views\system\home\carousel\index.vue      | Vue                |        326 |         24 |          5 |        355 |
| d:\czcfiles\code\vue-admin-template\src\views\system\home\index.vue               | Vue                |          7 |          0 |          2 |          9 |
| d:\czcfiles\code\vue-admin-template\src\views\system\home\recommender\index.vue   | Vue                |        352 |         21 |          5 |        378 |
| d:\czcfiles\code\vue-admin-template\src\views\system\log\index.vue                | Vue                |        196 |         24 |          3 |        223 |
| d:\czcfiles\code\vue-admin-template\src\views\testType.vue                        | Vue                |         23 |          0 |          1 |         24 |
| d:\czcfiles\code\vue-admin-template\src\views\type\index.vue                      | Vue                |          7 |          0 |          1 |          8 |
| d:\czcfiles\code\vue-admin-template\src\views\type\list\index.vue                 | Vue                |        279 |         19 |          4 |        302 |
| d:\czcfiles\code\vue-admin-template\src\views\user\index.vue                      | Vue                |          7 |          0 |          1 |          8 |
| d:\czcfiles\code\vue-admin-template\src\views\user\list\index.vue                 | Vue                |        169 |          3 |          5 |        177 |
| d:\czcfiles\code\vue-admin-template\tests\unit\.eslintrc.js                       | JavaScript         |          5 |          0 |          1 |          6 |
| d:\czcfiles\code\vue-admin-template\tests\unit\components\Breadcrumb.spec.js      | JavaScript         |         80 |         14 |          5 |         99 |
| d:\czcfiles\code\vue-admin-template\tests\unit\components\Hamburger.spec.js       | JavaScript         |         18 |          0 |          1 |         19 |
| d:\czcfiles\code\vue-admin-template\tests\unit\components\SvgIcon.spec.js         | JavaScript         |         22 |          0 |          1 |         23 |
| d:\czcfiles\code\vue-admin-template\tests\unit\utils\formatTime.spec.js           | JavaScript         |         28 |          0 |          3 |         31 |
| d:\czcfiles\code\vue-admin-template\tests\unit\utils\param2Obj.spec.js            | JavaScript         |         13 |          0 |          2 |         15 |
| d:\czcfiles\code\vue-admin-template\tests\unit\utils\parseTime.spec.js            | JavaScript         |         33 |          0 |          3 |         36 |
| d:\czcfiles\code\vue-admin-template\tests\unit\utils\validate.spec.js             | JavaScript         |         16 |          0 |          2 |         18 |
| d:\czcfiles\code\vue-admin-template\vue.config.js                                 | JavaScript         |         94 |         22 |          8 |        124 |
| Total                                                                             |                    |      5,650 |        378 |        542 |      6,570 |
+-----------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
